Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26800.66it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   0%|          | 1/750 [00:00<04:10,  3.00it/s]Loading weights:   3%|▎         | 26/750 [00:00<00:10, 71.49it/s]Loading weights:   6%|▋         | 48/750 [00:00<00:06, 109.94it/s]Loading weights:   9%|▉         | 67/750 [00:00<00:05, 125.41it/s]Loading weights:  11%|█         | 83/750 [00:00<00:05, 129.83it/s]Loading weights:  14%|█▎        | 103/750 [00:00<00:04, 141.42it/s]Loading weights:  16%|█▋        | 122/750 [00:01<00:04, 152.64it/s]Loading weights:  19%|█▊        | 139/750 [00:01<00:03, 153.01it/s]Loading weights:  21%|██        | 158/750 [00:01<00:03, 162.16it/s]Loading weights:  23%|██▎       | 175/750 [00:01<00:03, 155.85it/s]Loading weights:  26%|██▌       | 192/750 [00:01<00:03, 153.93it/s]Loading weights:  29%|██▊       | 214/750 [00:01<00:03, 167.16it/s]Loading weights:  31%|███       | 232/750 [00:01<00:03, 167.29it/s]Loading weights:  34%|███▎      | 252/750 [00:01<00:02, 167.14it/s]Loading weights:  37%|███▋      | 274/750 [00:01<00:02, 175.68it/s]Loading weights:  39%|███▉      | 292/750 [00:02<00:02, 169.21it/s]Loading weights:  42%|████▏     | 312/750 [00:02<00:02, 172.94it/s]Loading weights:  44%|████▍     | 330/750 [00:02<00:02, 169.00it/s]Loading weights:  46%|████▋     | 347/750 [00:02<00:02, 162.91it/s]Loading weights:  49%|████▉     | 367/750 [00:02<00:02, 171.60it/s]Loading weights:  51%|█████▏    | 386/750 [00:02<00:02, 172.36it/s]Loading weights:  58%|█████▊    | 432/750 [00:02<00:01, 252.86it/s]Loading weights:  66%|██████▋   | 497/750 [00:02<00:00, 365.63it/s]Loading weights:  76%|███████▌  | 571/750 [00:02<00:00, 467.99it/s]Loading weights:  85%|████████▌ | 638/750 [00:02<00:00, 526.54it/s]Loading weights:  94%|█████████▍| 707/750 [00:03<00:00, 573.31it/s]Loading weights: 100%|██████████| 750/750 [00:03<00:00, 235.43it/s]
[1/200] g638 'Is the person walking?' key='walking' | STI key=30 ans='Yes'X | SIT key=24 ans='No'ok | gap=6 peakL30 <PARADOX>
[156/200] g427 'Does the image show only two people?' key='people' | STI key=0 ans='No'X | SIT key=0 ans='Yes'ok | gap=0 peakL20 <PARADOX>
[157/200] g460 'Is the girl blowing bubbles with her eyes closed?' key='blowing' | STI key=2 ans='No'X | SIT key=1 ans='No'X | gap=1 peakL34 
[158/200] g463 'Is the heart spray painted with a tilted "A" inside?' key='painted' | STI key=5 ans='Yes'ok | SIT key=5 ans='Yes'ok | gap=0 peakL30 
[159/200] g506 'Is a referee present in the scenes to intervene or mediate?' key='intervene' | STI key=1 ans='Yes'X | SIT key=2 ans='No'ok | gap=-1 peakL34 <PARADOX>
[160/200] g633 'Is the focus on a group mainly consisting of sellers?' key='consisting' | STI key=0 ans='Yes'X | SIT key=0 ans='No'ok | gap=0 peakL34 <PARADOX>
[161/200] g641 'Is this person standing while creating the artwork?' key='standing' | STI key=0 ans='Yes'X | SIT key=0 ans='No'ok | gap=0 peakL34 <PARADOX>
[162/200] g652 'Are the bikers primarily trying to ascend a hill?' key='trying' | STI key=0 ans='No'X | SIT key=0 ans='No'X | gap=0 peakL32 
[163/200] g670 'Are people on the sidewalk involved in distinct activities?' key='activities' | STI key=4 ans='Yes'X | SIT key=0 ans='No'ok | gap=4 peakL24 <PARADOX>
[164/200] g691 'Is someone wearing a blue shirt featured?' key='wearing' | STI key=5 ans='No'ok | SIT key=0 ans='No'ok | gap=5 peakL30 
[165/200] g738 'Is the man alone with just one bicycle?' key='bicycle' | STI key=7 ans='No'X | SIT key=5 ans='Yes'ok | gap=2 peakL32 <PARADOX>
[166/200] g757 'Is the woman wearing multiple beaded necklaces?' key='wearing' | STI key=4 ans='No'ok | SIT key=0 ans='No'ok | gap=4 peakL32 
[167/200] g760 'Is the water body calm with no cloud in the sky?' key='water' | STI key=2 ans='Yes'ok | SIT key=1 ans='Yes'ok | gap=1 peakL32 
[168/200] g810 'Are the cement bricks lying horizontally on the board?' key='lying' | STI key=0 ans='No'X | SIT key=0 ans='Yes'ok | gap=0 peakL30 <PARADOX>
[169/200] g834 'Does the scene include a beige boxcar with graffiti?' key='graffiti' | STI key=31 ans='Yes'X | SIT key=23 ans='No'ok | gap=8 peakL26 <PARADOX>
[170/200] g887 'Does the central tree have four trunks?' key='central' | STI key=21 ans='Yes'X | SIT key=0 ans='No'ok | gap=21 peakL30 <PARADOX>
[171/200] g888 'Is the star on a tan, shell-marked pillar?' key='marked' | STI key=2 ans='Yes'X | SIT key=0 ans='Yes'X | gap=2 peakL34 
[172/200] g901 'Is the alligator facing the left side of the image?' key='facing' | STI key=6 ans='Yes'X | SIT key=6 ans='No'ok | gap=0 peakL32 <PARADOX>
[173/200] g922 'Is the firetruck parked in a driveway outside the garage?' key='firetruck' | STI key=10 ans='No'X | SIT key=5 ans='Yes'ok | gap=5 peakL34 <PARADOX>
[174/200] g994 'Is the musician playing a jaguar electric guitar?' key='playing' | STI key=3 ans='Yes'X | SIT key=0 ans='No'ok | gap=3 peakL30 <PARADOX>
[175/200] g1045 'Are multiple people interacting with the fire directly?' key='interacting' | STI key=0 ans='Yes'X | SIT key=0 ans='No'ok | gap=0 peakL34 <PARADOX>
[176/200] g1067 'Is the highway loop surrounded by a thick forest?' key='surrounded' | STI key=78 ans='No'X | SIT key=63 ans='No'X | gap=15 peakL18 
[177/200] g1084 'Is the person interacting primarily with boxed items?' key='interacting' | STI key=0 ans='Yes'X | SIT key=0 ans='No'ok | gap=0 peakL18 <PARADOX>
[178/200] g1088 'Is the word "toxic" spray-painted on the ground?' key='painted' | STI key=3 ans='Yes'ok | SIT key=0 ans='Yes'ok | gap=3 peakL26 
[179/200] g1115 'Is a street performer using a pogo stick?' key='using' | STI key=0 ans='No'X | SIT key=0 ans='No'X | gap=0 peakL30 
[180/200] g1178 'Are the solar panels attached to a metal fence?' key='attached' | STI key=0 ans='No'X | SIT key=0 ans='Yes'ok | gap=0 peakL30 <PARADOX>
[181/200] g1268 'Is the sculpture placed on a gray stone platform?' key='sculpture' | STI key=27 ans='Yes'ok | SIT key=29 ans='Yes'ok | gap=-2 peakL30 
[182/200] g1297 'Is coal the primary element the man is handling?' key='handling' | STI key=1 ans='No'X | SIT key=1 ans='Yes'ok | gap=0 peakL32 <PARADOX>
[183/200] g1315 'Are all the cyclists racing straight ahead?' key='racing' | STI key=3 ans='No'X | SIT key=5 ans='Yes'ok | gap=-2 peakL34 <PARADOX>
[184/200] g1319 'Does the basketball court have six nets?' key='basketball' | STI key=14 ans='No'X | SIT key=10 ans='Yes'ok | gap=4 peakL32 <PARADOX>
[185/200] g1324 'Is the person in the image sitting while reading?' key='sitting' | STI key=3 ans='No'ok | SIT key=1 ans='No'ok | gap=2 peakL30 
[186/200] g1334 "Does the graffiti art include the word 'SHAKE'?" key='graffiti' | STI key=57 ans='Yes'ok | SIT key=64 ans='Yes'ok | gap=-7 peakL24 
[187/200] g1357 'Is the jump likely to end on a hard surface?' key='surface' | STI key=3 ans='Yes'ok | SIT key=0 ans='Yes'ok | gap=3 peakL34 
[188/200] g1415 'Is the man depicted walking down the steps?' key='walking' | STI key=1 ans='Yes'X | SIT key=3 ans='No'ok | gap=-2 peakL30 <PARADOX>
[189/200] g1422 'Is the peacock walking on twig-littered dirt?' key='walking' | STI key=8 ans='Yes'X | SIT key=2 ans='No'ok | gap=6 peakL30 <PARADOX>
[190/200] g1444 'Is the man playing only one instrument?' key='playing' | STI key=14 ans='No'X | SIT key=11 ans='Yes'ok | gap=3 peakL34 <PARADOX>
[191/200] g1458 'Is the landscape more than one mountain?' key='landscape' | STI key=15 ans='Yes'X | SIT key=15 ans='No'ok | gap=0 peakL26 <PARADOX>
[192/200] g1564 'Are all performers using string instruments?' key='string' | STI key=4 ans='No'X | SIT key=0 ans='No'X | gap=4 peakL34 
[193/200] g1583 'Is the man holding a tool in each hand?' key='holding' | STI key=0 ans='No'X | SIT key=1 ans='No'X | gap=-1 peakL34 
[194/200] g1631 'Is the bright sun visible through a sunroof?' key='visible' | STI key=1 ans='Yes'X | SIT key=0 ans='No'ok | gap=1 peakL24 <PARADOX>
[195/200] g1635 'Is everyone depicted inside a confined area?' key='everyone' | STI key=0 ans='No'X | SIT key=0 ans='Yes'ok | gap=0 peakL28 <PARADOX>
[196/200] g1713 'Is the Volkswagen Microbus gray with black tires?' key='volkswagen' | STI key=9 ans='Yes'ok | SIT key=14 ans='Yes'ok | gap=-5 peakL30 
[197/200] g1766 'Is the horse leaning over a maroon gate?' key='leaning' | STI key=7 ans='No'X | SIT key=1 ans='No'X | gap=6 peakL30 
[198/200] g1836 'Are the two parallel roads divided by cement?' key='parallel' | STI key=8 ans='No'X | SIT key=0 ans='No'X | gap=8 peakL34 
[199/200] g1838 'Are the clouds in the sky mainly dark cumulus?' key='cumulus' | STI key=6 ans='No'X | SIT key=5 ans='Yes'ok | gap=1 peakL30 <PARADOX>
[200/200] g1867 'Are all individuals facing the same direction?' key='facing' | STI key=5 ans='No'X | SIT key=0 ans='No'X | gap=5 peakL32 

===== 109/200 hold the paradox at low res. TOP by (paradox, key-word steering gap) =====
  P g887 key='central' keygap=21 (STI 21 vs SIT 0) peakL30 | STI='Yes' SIT='No' | 'Does the central tree have four trunks?' [images/nb_887_0.jpg]
  P g478 key='sharing' keygap=19 (STI 19 vs SIT 0) peakL28 | STI='Yes' SIT='No' | 'Are there some people sharing food?' [images/nb_478_0.jpg]
  P g879 key='spectators' keygap=18 (STI 21 vs SIT 3) peakL26 | STI='Yes' SIT='No' | 'Are there multiple spectators present?' [images/nb_879_1.jpg]
  P g58 key='waiting' keygap=15 (STI 21 vs SIT 6) peakL26 | STI='Yes' SIT='No' | 'Are the people waiting by track 17?' [images/nb_58_0.jpg]
  P g217 key='shaking' keygap=11 (STI 11 vs SIT 0) peakL32 | STI='Yes' SIT='No' | 'Is the dog shaking off water?' [images/nb_217_1.jpg]
  P g454 key='planting' keygap=9 (STI 10 vs SIT 1) peakL16 | STI='Yes' SIT='No' | 'Are the individuals planting crops?' [images/nb_454_1.jpg]
  P g232 key='catching' keygap=8 (STI 10 vs SIT 2) peakL26 | STI='No' SIT='Yes' | 'Is the main action about catching a ball?' [images/nb_232_1.jpg]
  P g834 key='graffiti' keygap=8 (STI 31 vs SIT 23) peakL26 | STI='Yes' SIT='No' | 'Does the scene include a beige boxcar with graffiti?' [images/nb_834_0.jpg]
  P g1015 key='different' keygap=7 (STI 7 vs SIT 0) peakL26 | STI='No' SIT='Yes' | 'Are all the dogs of different colors?' [images/nb_1015_0.jpg]
  P g717 key='sitting' keygap=7 (STI 7 vs SIT 0) peakL30 | STI='Yes' SIT='No' | 'Are there several people sitting on a bench?' [images/nb_717_1.jpg]
  P g769 key='sitting' keygap=7 (STI 7 vs SIT 0) peakL30 | STI='Yes' SIT='No' | 'Is there a child sitting on the grass?' [images/nb_769_1.jpg]
  P g1550 key='preparing' keygap=6 (STI 6 vs SIT 0) peakL18 | STI='Yes' SIT='No' | 'Are the boys preparing to go outside?' [images/nb_1550_1.jpg]
  P g1255 key='structure' keygap=6 (STI 6 vs SIT 0) peakL24 | STI='Yes' SIT='No' | 'Is there a structure that resembles a skull?' [images/nb_1255_0.jpg]
  P g1723 key='bicycles' keygap=6 (STI 26 vs SIT 20) peakL32 | STI='No' SIT='Yes' | 'Are the bicycles being carried by the cyclists?' [images/nb_1723_1.jpg]
  P g1557 key='traditional' keygap=6 (STI 6 vs SIT 0) peakL32 | STI='Yes' SIT='No' | 'Is there a woman in traditional Muslim wardrobe?' [images/nb_1557_1.jpg]
  P g263 key='performing' keygap=6 (STI 6 vs SIT 0) peakL32 | STI='Yes' SIT='No' | 'Is the person performing a trick on inline skates?' [images/nb_263_1.jpg]
  P g638 key='walking' keygap=6 (STI 30 vs SIT 24) peakL30 | STI='Yes' SIT='No' | 'Is the person walking?' [images/nb_638_1.jpg]
  P g1422 key='walking' keygap=6 (STI 8 vs SIT 2) peakL30 | STI='Yes' SIT='No' | 'Is the peacock walking on twig-littered dirt?' [images/nb_1422_0.jpg]
  P g1749 key='markings' keygap=5 (STI 5 vs SIT 0) peakL26 | STI='No' SIT='Yes' | "Is there a soccer ball with 'SEL' markings?" [images/nb_1749_0.jpg]
  P g922 key='firetruck' keygap=5 (STI 10 vs SIT 5) peakL34 | STI='No' SIT='Yes' | 'Is the firetruck parked in a driveway outside the garage?' [images/nb_922_0.jpg]
